AB.C.alpha.a.FP1,AB.C.alpha.b.FP2,AB.C.alpha.c.F7,AB.C.alpha.d.F3,AB.C.alpha.e.Fz,AB.C.alpha.f.F4,AB.C.alpha.g.F8,AB.C.alpha.h.T3,AB.C.alpha.i.C3,AB.C.alpha.j.Cz,AB.C.alpha.k.C4,AB.C.alpha.l.T4,AB.C.alpha.m.T5,AB.C.alpha.n.P3,AB.C.alpha.o.Pz,AB.C.alpha.p.P4,AB.C.alpha.q.T6,AB.C.alpha.r.O1,AB.C.alpha.s.O2,COH.D.beta.a.FP1.b.FP2,COH.D.beta.c.F7.d.F3,COH.D.beta.e.Fz.f.F4,COH.D.beta.g.F8.h.T3,COH.D.beta.i.C3.j.Cz,COH.D.beta.k.C4.l.T4,COH.D.beta.m.T5.n.P3,COH.D.beta.o.Pz.p.P4,COH.D.beta.q.T6.r.O1,AB.A.delta.a.FP1,AB.A.delta.b.FP2,AB.B.theta.a.FP1,AB.B.theta.b.FP2,AB.C.alpha.a.FP1,AB.C.alpha.b.FP2,AB.D.beta.a.FP1,AB.D.beta.b.FP2,AB.E.highbeta.a.FP1,AB.E.highbeta.b.FP2,AB.F.gamma.a.FP1,AB.F.gamma.b.FP2,COH.B.theta.a.FP1.b.FP2,COH.B.theta.c.F7.d.F3,COH.B.theta.e.Fz.f.F4,COH.B.theta.g.F8.h.T3,COH.B.theta.i.C3.j.Cz,COH.B.theta.k.C4.l.T4,COH.B.theta.m.T5.n.P3,COH.B.theta.o.Pz.p.P4,COH.B.theta.q.T6.r.O1,AB.B.theta.a.FP1,AB.B.theta.b.FP2,AB.B.theta.c.F7,AB.B.theta.d.F3,AB.B.theta.e.Fz,AB.B.theta.f.F4,AB.B.theta.g.F8,AB.B.theta.h.T3,AB.B.theta.i.C3,AB.B.theta.j.Cz,AB.B.theta.k.C4,AB.B.theta.l.T4,AB.B.theta.m.T5,AB.B.theta.n.P3,AB.B.theta.o.Pz,AB.B.theta.p.P4,AB.B.theta.q.T6,AB.B.theta.r.O1,AB.B.theta.s.O2,COH.F.gamma.a.FP1.b.FP2,COH.F.gamma.c.F7.d.F3,COH.F.gamma.e.Fz.f.F4,COH.F.gamma.g.F8.h.T3,COH.F.gamma.i.C3.j.Cz,COH.F.gamma.k.C4.l.T4,COH.F.gamma.m.T5.n.P3,COH.F.gamma.o.Pz.p.P4,COH.F.gamma.q.T6.r.O1,main.disorder
9.600378,10.317278,8.353143,10.546202,11.883076,11.558684,8.564385,3.87683,8.287389,11.212782,10.324425,5.056184,3.097481,4.701551,7.838825,7.674281,8.471889,6.023749,7.649086,84.572015,64.942969,93.026658,15.108609,52.596669,48.641095,51.45745,58.182864,7.872652,25.774891,32.741696,9.754845,10.958443,9.600378,10.317278,8.456636,9.315905,2.050506,2.212259,3.578963,3.483426,80.426853,48.845363,92.385606,2.668769,70.025819,41.645813,51.563428,77.351478,3.963565,9.754845,10.958443,11.304792,11.815598,12.960977,11.940184,9.059544,5.774612,9.590017,11.145463,10.252114,6.005662,4.312108,7.207854,8.675174,7.736331,5.651137,5.02198,5.432616,80.159468,64.233669,92.541487,34.746083,83.071656,69.194786,73.058224,85.715948,18.976865,Trauma and stress related disorder
7.30162,7.156299,6.0189,8.828772,8.688607,7.276146,6.517625,5.486164,8.111365,7.374431,6.244567,6.429889,3.17748,4.757753,5.634406,4.688299,2.327307,3.350967,3.238588,81.054626,68.069724,84.188764,5.245487,79.916922,54.466056,69.765643,70.258398,8.790526,14.51193,13.896528,6.013364,5.899306,7.30162,7.156299,7.462847,7.374618,2.63852,2.61716,3.479699,3.553046,87.083141,79.806617,91.369211,14.546802,92.535749,61.908412,68.609658,67.69142,7.816467,6.013364,5.899306,5.03218,6.982113,7.503626,5.657417,5.366252,3.513522,5.657792,6.925626,5.462337,2.816537,3.194977,4.631077,6.707217,6.285357,4.187925,5.815806,9.207272,51.527146,49.966588,73.736895,9.805625,78.158892,34.820754,67.548762,45.595619,13.900981,Addictive disorder
31.821605,33.279559,25.150751,39.580219,44.422673,45.296926,35.060431,13.77217,35.035466,45.48871,42.775025,24.728367,8.014112,16.616592,25.116291,26.095699,11.182315,22.661351,21.154176,74.200556,69.658523,92.566397,9.695578,75.762405,73.475707,81.495799,72.562934,4.479063,14.624474,14.277301,6.764832,6.81373,31.821605,33.279559,5.341148,6.0044,1.786026,1.814043,2.924069,3.147369,73.040017,56.809405,90.487531,6.621856,79.854589,66.734851,80.513024,81.750472,14.192917,6.764832,6.81373,5.315754,7.949487,8.575134,8.755673,6.237341,3.011771,6.47238,7.434877,6.299267,4.664862,1.566645,4.175666,5.321908,5.371009,3.161262,3.040873,4.582518,45.018671,44.621159,84.407152,2.343455,57.973414,62.994787,78.236081,70.14917,9.480565,Mood disorder
0.02287114,0.026567271,0.013910644,0.025169251,0.023967149,0.011872265,0.01683918,0.013443652,0.007898125,0.012711518,0.009881171,0.014212594,0.0036672836,0.0027247998,0.0088492865,0.007945346,0.007999391,0.012962952,0.005087395,0.9462331,0.7814997,0.8415818,0.13265163,0.72963625,0.48528716,0.7645529,0.75718963,0.1614186,0.08878734,0.11182668,0.02180033,0.019755747,0.02287114,0.026567271,0.066429704,0.060119297,0.059166905,0.028636536,0.056742433,0.027259612,0.9458133,0.76744175,0.90034664,0.18341821,0.81116325,0.5509323,0.7510479,0.8087822,0.21986945,0.02180033,0.019755747,0.019905416,0.0375898,0.032702096,0.035219043,0.013035776,0.006180788,0.044938713,0.028046723,0.03389551,0.016102035,0.01452363,0.03498379,0.021586789,0.02029837,0.0124950465,0.0024831307,0.014924111,0.9254988,0.6295747,0.8211119,0.22692005,0.7408939,0.4813333,0.8352766,0.8186319,0.33207917,Addictive disorder
13.570518,15.643485,9.07907,16.305807,17.352072,17.638845,14.985621,5.785873,19.839586,19.032565,20.499705,13.577951,7.854264,19.445383,26.620652,25.424364,20.489496,18.684642,25.457196,75.328619,66.173255,79.611799,4.569591,72.590323,47.174075,24.839228,61.071854,2.932829,18.984247,28.604063,12.048599,15.900474,13.570518,15.643485,13.000378,15.511865,1.420694,1.793958,1.891205,2.2958,66.646308,58.768604,65.807328,7.875938,78.546992,50.786155,21.962395,57.525043,12.05097,12.048599,15.900474,8.575358,13.643488,16.317213,16.654242,14.656041,5.631579,11.960182,14.976727,13.208468,9.013431,4.956037,8.346021,13.053388,11.343174,7.124321,6.875762,7.950307,58.528986,45.95131,70.968901,4.213419,70.788823,35.386962,19.933907,65.59792,1.488804,Mood disorder
0.05904708,0.057407927,0.058706976,0.046320613,0.066454686,0.044394348,0.045575645,0.030967016,0.037062965,0.04811738,0.04174705,0.060288038,0.033450883,0.034813263,0.039426174,0.046897117,0.07385373,0.04925894,0.027273076,0.82133216,0.7345476,0.58045083,0.34287497,0.73172027,0.7544802,0.45623398,0.6238879,0.2974777,0.11320336,0.14497533,0.034699757,0.032958817,0.05904708,0.057407927,0.14728229,0.1471888,0.12550962,0.10919881,0.1016851,0.09544825,0.81007284,0.5694219,0.4596409,0.21281295,0.68326676,0.63757175,0.32911074,0.5272535,0.16308719,0.034699757,0.032958817,0.033859536,0.048856117,0.043672267,0.036501437,0.051523477,0.028260715,0.059396323,0.060535606,0.048110005,0.03706812,0.032474265,0.03738312,0.038529348,0.049132593,0.028706625,0.019005053,0.041208185,0.86248285,0.73240155,0.63800555,0.49129346,0.770705,0.84327304,0.5577641,0.67018586,0.55282044,Mood disorder
26.203594,27.653272,15.39299,27.242717,29.091016,28.620192,20.114501,5.583252,24.342342,30.818582,33.770692,15.534618,21.324624,33.161296,36.082644,34.792204,24.758437,21.473963,14.2126,85.798932,75.248374,94.000914,15.472244,85.78489,57.504544,59.383582,91.780153,15.183353,13.799266,16.881899,9.216893,10.351361,26.203594,27.653272,9.837192,10.591583,6.411329,6.853666,3.435962,3.605709,93.636817,85.998186,97.65366,55.64525,93.673956,79.28577,67.285175,96.255837,30.505137,9.216893,10.351361,5.899368,10.251533,10.393537,11.646884,8.853052,2.380332,8.122014,10.56738,10.332209,5.620755,2.981481,6.874245,6.80544,7.782591,5.260642,3.106567,3.018532,75.767381,75.666899,92.300004,17.054962,81.880232,48.019289,66.614003,93.277904,36.549938,Healthy control
0.0594521,0.066928394,0.053839397,0.061836112,0.0678843,0.039634023,0.058259115,0.038988594,0.04147336,0.04081518,0.05063231,0.07042092,0.029484991,0.04233124,0.059241835,0.066184774,0.06928987,0.04484809,0.03429817,0.70025563,0.70241296,0.76941174,0.16475554,0.62328357,0.4987646,0.6098832,0.6791556,0.19335389,0.19804037,0.1801043,0.07694957,0.062645964,0.0594521,0.066928394,0.16453227,0.14118153,0.10007651,0.07799627,0.082616486,0.08184886,0.72343075,0.61383843,0.78995025,0.16733144,0.694641,0.5901677,0.56367207,0.70052016,0.19861102,0.07694957,0.062645964,0.05886449,0.07460387,0.10139436,0.09902035,0.06901075,0.048813816,0.08406955,0.11747937,0.0902228,0.06387672,0.060554836,0.07479931,0.08926679,0.088014625,0.061110143,0.037887257,0.06666994,0.67682534,0.6677242,0.77016884,0.31137362,0.69251186,0.50132465,0.7298698,0.740775,0.41603133,Trauma and stress related disorder
0.21486744,0.20493253,0.16006184,0.12251834,0.16169253,0.13418955,0.13572033,0.10245394,0.09955142,0.09272779,0.11120965,0.14560053,0.14118223,0.094041705,0.17826259,0.16011202,0.14576675,0.17771727,0.15311353,0.7689544,0.4629069,0.8371716,0.14928135,0.7790438,0.7908883,0.71431017,0.8676857,0.19950199,0.22600614,0.2052751,0.08831927,0.06605518,0.21486744,0.20493253,0.09907539,0.107207395,0.065128304,0.043923445,0.048495676,0.02797163,0.78435165,0.499532,0.84272915,0.28130162,0.87091094,0.8035292,0.6527757,0.87040526,0.33574212,0.08831927,0.06605518,0.056010157,0.062491983,0.07312686,0.08590745,0.066895574,0.039280314,0.090869,0.08704564,0.06919057,0.060097273,0.0475355,0.07393768,0.07047869,0.06495888,0.06097149,0.021397874,0.08494851,0.64353764,0.2897218,0.8024703,0.12224813,0.74345607,0.71622044,0.7869593,0.8509957,0.29638916,Addictive disorder
0.073226534,0.072747,0.056875255,0.058204625,0.07637932,0.06742317,0.060018238,0.044183977,0.053769186,0.053824052,0.052478112,0.07737142,0.040995587,0.033747032,0.055276986,0.06954519,0.07485227,0.07320903,0.06634961,0.704627,0.68674064,0.726774,0.22767434,0.7085489,0.5172091,0.6371553,0.7266585,0.2084045,0.21253434,0.23341541,0.06573933,0.075834446,0.073226534,0.072747,0.13626409,0.12780963,0.11562168,0.061505254,0.08560113,0.06643063,0.7377676,0.60668105,0.7817657,0.25471497,0.7567421,0.5431398,0.63714135,0.74488825,0.29416326,0.06573933,0.075834446,0.051994473,0.07948328,0.092419535,0.088513196,0.09907737,0.04872391,0.09778688,0.09890127,0.09013459,0.07852274,0.051313605,0.07942031,0.082135886,0.09375538,0.083261184,0.038160753,0.09054532,0.64658237,0.67034805,0.72314596,0.269898,0.7406155,0.5729656,0.7007774,0.7327158,0.36738867,Schizophrenia
