AB.C.alpha.a.FP1,AB.C.alpha.b.FP2,AB.C.alpha.c.F7,AB.C.alpha.d.F3,AB.C.alpha.e.Fz,AB.C.alpha.f.F4,AB.C.alpha.g.F8,AB.C.alpha.h.T3,AB.C.alpha.i.C3,AB.C.alpha.j.Cz,AB.C.alpha.k.C4,AB.C.alpha.l.T4,AB.C.alpha.m.T5,AB.C.alpha.n.P3,AB.C.alpha.o.Pz,AB.C.alpha.p.P4,AB.C.alpha.q.T6,AB.C.alpha.r.O1,AB.C.alpha.s.O2,COH.D.beta.a.FP1.b.FP2,COH.D.beta.c.F7.d.F3,COH.D.beta.e.Fz.f.F4,COH.D.beta.g.F8.h.T3,COH.D.beta.i.C3.j.Cz,COH.D.beta.k.C4.l.T4,COH.D.beta.m.T5.n.P3,COH.D.beta.o.Pz.p.P4,COH.D.beta.q.T6.r.O1,AB.A.delta.a.FP1,AB.A.delta.b.FP2,AB.B.theta.a.FP1,AB.B.theta.b.FP2,AB.C.alpha.a.FP1,AB.C.alpha.b.FP2,AB.D.beta.a.FP1,AB.D.beta.b.FP2,AB.E.highbeta.a.FP1,AB.E.highbeta.b.FP2,AB.F.gamma.a.FP1,AB.F.gamma.b.FP2,COH.B.theta.a.FP1.b.FP2,COH.B.theta.c.F7.d.F3,COH.B.theta.e.Fz.f.F4,COH.B.theta.g.F8.h.T3,COH.B.theta.i.C3.j.Cz,COH.B.theta.k.C4.l.T4,COH.B.theta.m.T5.n.P3,COH.B.theta.o.Pz.p.P4,COH.B.theta.q.T6.r.O1,AB.B.theta.a.FP1,AB.B.theta.b.FP2,AB.B.theta.c.F7,AB.B.theta.d.F3,AB.B.theta.e.Fz,AB.B.theta.f.F4,AB.B.theta.g.F8,AB.B.theta.h.T3,AB.B.theta.i.C3,AB.B.theta.j.Cz,AB.B.theta.k.C4,AB.B.theta.l.T4,AB.B.theta.m.T5,AB.B.theta.n.P3,AB.B.theta.o.Pz,AB.B.theta.p.P4,AB.B.theta.q.T6,AB.B.theta.r.O1,AB.B.theta.s.O2,COH.F.gamma.a.FP1.b.FP2,COH.F.gamma.c.F7.d.F3,COH.F.gamma.e.Fz.f.F4,COH.F.gamma.g.F8.h.T3,COH.F.gamma.i.C3.j.Cz,COH.F.gamma.k.C4.l.T4,COH.F.gamma.m.T5.n.P3,COH.F.gamma.o.Pz.p.P4,COH.F.gamma.q.T6.r.O1,main.disorder
0.019972581,0.018249206,0.01684661,0.010240918,0.024194414,0.014283612,0.0133315185,0.007277338,0.009228137,0.014098984,0.010196837,0.023571111,0.00966404,0.005592152,0.020673674,0.013776571,0.018631216,0.012448815,0.0073280833,0.7065853,0.60370624,0.6621576,0.2520268,0.6285805,0.75241065,0.72469974,0.8074238,0.24625003,0.13655682,0.11886292,0.025189016,0.030104151,0.0206157,0.025557363,0.094113365,0.10333163,0.11365329,0.076156795,0.0960513,0.07681446,0.8259935,0.708427,0.79562855,0.3975468,0.78368133,0.7560262,0.7538008,0.8223183,0.22101131,0.023144376,0.026594076,0.027234718,0.03231895,0.045729693,0.0362242,0.03219093,0.022235408,0.028689513,0.046960402,0.029943278,0.034885813,0.022709068,0.023215942,0.024615578,0.021915808,0.023286676,0.012573761,0.029156547,0.71349394,0.5186334,0.73213744,0.42412007,0.70475507,0.79134625,0.78670913,0.82043517,0.56125253,Mood disorder
0.06670518,0.049747653,0.049685974,0.04388899,0.04343457,0.0455847,0.053312395,0.04447051,0.0316583,0.030746423,0.029885154,0.03594605,0.023059785,0.02366159,0.030050235,0.039740417,0.04192564,0.061705217,0.050652232,0.56418455,0.7931419,0.8939912,0.2554851,0.6416742,0.70820284,0.37020624,0.7899274,0.13892315,0.2732288,0.28018993,0.037423838,0.041216224,0.053701,0.06286112,0.13303356,0.12281186,0.12492825,0.1190938,0.117216155,0.08694403,0.5124248,0.62861055,0.8785691,0.12514028,0.60819775,0.60172,0.33109206,0.781746,0.093185194,0.030955968,0.03675394,0.053431828,0.05259604,0.046466153,0.045833312,0.042533986,0.042326547,0.06291981,0.07326783,0.059172526,0.049387917,0.041722994,0.04916197,0.041663334,0.04087998,0.041567035,0.02561489,0.04978344,0.41321355,0.8226309,0.8705535,0.4150198,0.700027,0.80338633,0.5804681,0.86923283,0.41907838,Mood disorder
0.0041426714,0.0036227165,0.0012651056,0.0032360647,0.002374181,0.004003076,0.0019719668,0.0038658304,0.0020155993,0.0018231674,0.0019080533,0.007677785,0.0019209071,0.0013362329,0.002988123,0.0063587273,0.010564197,0.0054636514,0.0042519737,0.8095515,0.2104373,0.39918956,0.044980228,0.38922578,0.085080996,0.4094136,0.9070336,0.18320525,0.30507618,0.26695153,0.017797101,0.0151391,0.002804988,0.0070644645,0.049232345,0.06483564,0.073690735,0.08240578,0.07426154,0.0692023,0.7814793,0.4396522,0.5238726,0.066732265,0.49858975,0.16056311,0.31836408,0.88799167,0.049590193,0.019268997,0.021303764,0.0077610575,0.013954825,0.027932227,0.025202284,0.022188872,0.010442454,0.034283224,0.050031867,0.02847684,0.024138762,0.011365989,0.028431574,0.021746838,0.027181856,0.02038521,0.012834547,0.020025397,0.87976205,0.34137967,0.72329515,0.16317692,0.56558186,0.09878113,0.672542,0.9591521,0.60093385,Mood disorder
0.33084235,0.34308976,0.27993864,0.23652337,0.2988653,0.23325045,0.25196576,0.16538371,0.17937689,0.22443533,0.20894973,0.2430175,0.11942583,0.13176385,0.22874637,0.21161589,0.23197824,0.2572864,0.19022195,0.84162337,0.67770785,0.74604005,0.14655548,0.59763366,0.6384383,0.48620334,0.6442424,0.09094549,0.20392637,0.15558065,0.09471219,0.096393086,0.34398568,0.33886984,0.2043765,0.19153906,0.10136436,0.088762924,0.10258918,0.08465914,0.8012497,0.5822626,0.7713445,0.1356933,0.62729126,0.5460925,0.4329151,0.6701135,0.10109599,0.09181905,0.08393417,0.1001086,0.12308721,0.12442919,0.11651238,0.10758573,0.07773028,0.116714664,0.14249335,0.11024731,0.10338225,0.0676602,0.10006877,0.10784498,0.10609065,0.096870996,0.05337181,0.105254106,0.7320397,0.47844896,0.63407004,0.13194244,0.5357189,0.5568064,0.527677,0.60219574,0.22029509,Mood disorder
0.117329635,0.115863845,0.10059314,0.07540813,0.11763093,0.066430494,0.079452075,0.06109972,0.07530361,0.06254554,0.06252343,0.080590576,0.04839223,0.10567941,0.093923554,0.12287672,0.20102803,0.18426748,0.14536032,0.87328625,0.7217056,0.88172495,0.5557564,0.83846647,0.8114101,0.5254227,0.79594237,0.44462907,0.18101326,0.25270993,0.05993732,0.06295255,0.09758074,0.10994147,0.19693837,0.18575229,0.1288984,0.101719454,0.1088696,0.08800594,0.6052369,0.34801975,0.7122155,0.117925756,0.67683876,0.56996286,0.3610195,0.6713368,0.21687242,0.06348994,0.06864887,0.0658236,0.10221542,0.09329277,0.10688225,0.09049003,0.0416905,0.09905147,0.12107781,0.09539135,0.070018806,0.049142074,0.10497975,0.12774123,0.13898723,0.093424134,0.0448483,0.08981884,0.93782634,0.81522405,0.9241387,0.6669163,0.86379343,0.934662,0.6932619,0.8820177,0.73618716,Mood disorder
0.09135517,0.08307909,0.05357187,0.054335725,0.07353894,0.06811705,0.07595528,0.07362937,0.056908064,0.05101035,0.04855508,0.062208757,0.058249544,0.053589806,0.0817578,0.09077387,0.13826758,0.15183532,0.10348181,0.7206887,0.77387166,0.8227007,0.28655258,0.6706706,0.35886723,0.68425435,0.8188221,0.36806038,0.26967314,0.2883894,0.06210882,0.079382405,0.08328577,0.104748644,0.114400215,0.11878749,0.07647732,0.08662905,0.10039058,0.10172496,0.60679644,0.74043804,0.7805724,0.21878703,0.6856472,0.49534482,0.6616868,0.7771439,0.22520933,0.0698968,0.07248701,0.095216714,0.09182802,0.08485302,0.083009966,0.075139426,0.08571943,0.10839971,0.14320008,0.10155775,0.086365476,0.074169956,0.12098628,0.106272966,0.10066586,0.08877145,0.07214012,0.11698588,0.7696333,0.8821822,0.8636802,0.5590272,0.83456206,0.40910923,0.8944161,0.9362506,0.820051,Mood disorder
0.05289493,0.04385837,0.04468466,0.04096206,0.047897276,0.044501044,0.054069743,0.05067034,0.03858347,0.038419772,0.048574552,0.0640325,0.037996616,0.024701308,0.055886023,0.050741747,0.052227728,0.08583678,0.04909678,0.5669124,0.58141017,0.61387306,0.045571037,0.33417198,0.28468308,0.5627203,0.6668811,0.071696,0.44505337,0.39793152,0.098559186,0.10688434,0.05190829,0.07586288,0.14166139,0.18569082,0.1596807,0.1569585,0.18291847,0.12533733,0.59068197,0.5907048,0.7295472,0.1303431,0.55089414,0.40852317,0.6133644,0.7164571,0.11021309,0.097115435,0.13098645,0.11514476,0.13777462,0.116375275,0.14544192,0.09392093,0.10175196,0.13758856,0.16860442,0.15032041,0.12328248,0.097352445,0.119370565,0.12026245,0.09247824,0.08964607,0.07571608,0.12099854,0.43706283,0.46630466,0.5079954,0.08280057,0.38371164,0.1577256,0.6503016,0.6944977,0.17008238,Mood disorder
0.37501687,0.38662362,0.25057673,0.19985582,0.32044438,0.22260495,0.30730888,0.10450728,0.13513209,0.20787625,0.19466726,0.13148361,0.054763038,0.06510334,0.16049458,0.12252591,0.11400854,0.09162535,0.09235222,0.62547857,0.6218776,0.8070158,0.095346734,0.52311516,0.69097096,0.67331576,0.6313601,0.08372992,0.21683832,0.18736498,0.09463144,0.100080915,0.3146026,0.4003003,0.2191472,0.16022931,0.18625642,0.1274016,0.10290297,0.09117312,0.6199251,0.4809321,0.8193057,0.08805893,0.57731074,0.59191376,0.62588185,0.6948266,0.11972785,0.10142651,0.09811029,0.09606723,0.118878365,0.12778413,0.11691609,0.08746219,0.05277793,0.08285472,0.17264825,0.10736697,0.06686654,0.06287104,0.06510784,0.08389489,0.085348204,0.054964367,0.0429681,0.055145383,0.3823974,0.49730912,0.7068808,0.09768698,0.5175573,0.64726627,0.6767303,0.5593262,0.19850859,Mood disorder
0.021416336,0.020695029,0.016772872,0.014060897,0.022430748,0.014600363,0.017404053,0.007655131,0.011937993,0.015062001,0.013041544,0.02443746,0.010532455,0.0071470267,0.018324098,0.021194365,0.020208359,0.01905872,0.012929889,0.81846786,0.783756,0.8523907,0.28596067,0.7685851,0.6913336,0.6894447,0.8355342,0.34259844,0.07779455,0.06832513,0.020719726,0.020618904,0.022372436,0.023136176,0.050924916,0.04649807,0.033668,0.022276355,0.052131962,0.04131723,0.8170229,0.77947354,0.8807358,0.3589108,0.8167658,0.71150583,0.75367135,0.8518078,0.45054427,0.015964506,0.015498343,0.015715092,0.02342296,0.027786905,0.023547588,0.02503845,0.014020611,0.02775723,0.037839293,0.023794817,0.027439408,0.017895442,0.01915884,0.025145175,0.021708833,0.01848672,0.008155666,0.019153586,0.7798584,0.7070232,0.84458363,0.2928926,0.77211404,0.6803175,0.7553859,0.8401755,0.5701958,Mood disorder
0.022621343,0.027230993,0.025168147,0.01872016,0.02557352,0.017410943,0.022758376,0.009110602,0.018518666,0.025914323,0.027738344,0.039893743,0.013375514,0.00970327,0.016913733,0.020512518,0.017444396,0.0152012585,0.007966237,0.77782834,0.60690814,0.70849526,0.078881465,0.55260694,0.44443196,0.553516,0.51047355,0.12924664,0.08122392,0.09302125,0.024097325,0.0255273,0.030000018,0.022389686,0.08325177,0.10052748,0.09780786,0.06949034,0.10428154,0.07743208,0.7827703,0.5300111,0.75326926,0.075462565,0.64857477,0.4325623,0.5172206,0.53688765,0.14026366,0.023014149,0.022993043,0.016424756,0.028896682,0.03065386,0.027179834,0.027449904,0.0120255565,0.03033949,0.033993185,0.036188353,0.021690771,0.024431111,0.015273717,0.024354385,0.028254,0.014549863,0.007107817,0.016990144,0.67822766,0.3808528,0.6166618,0.0681047,0.5536101,0.3485384,0.48725808,0.39919853,0.20463829,Mood disorder
